"","ModelID","ID","GSM1169222","GSM1169223","GSM1169224","GSM1169225","GSM1169226","GSM1169227","GSM1169228","GSM1169229","GSM1169230","GSM1169231","GSM1169232","GSM1169233","GSM1169234","GSM1169235","GSM1169236","GSM1169237"
"395","'PCCGCIGL_00637'","Skluy_31.2.8:8",4.526338987,4.360030981,4.439396729,4.585105812,1.709406997,1.665860179,1.796759613,1.788258991,3.528427107,3.392030414,3.716290605,3.632346933,-0.205825754,-0.443551806,-0.258674018,-0.463447273
"396","'PCCGCIGL_00637'","Skluy_20.1.6:6",0.583107287,0.430163651,0.322771645,0.300652797,0.283531276,0.174753034,0.328491213,0.403709458,0.49814388,0.661640213,0.656384522,0.593829245,-0.188341281,-0.327800178,-0.424195576,-0.179100411
"397","'PCCGCIGL_05537'","Skluy_8.3.33:33",0.294893358,0.518393223,0.489827687,0.517532754,0.438402819,0.481445483,0.482403061,0.4604575,0.556863611,0.921952352,0.525137733,0.662056409,-0.625683929,-0.646735899,-0.88331895,-0.803404815
"398","'PCCGCIGL_04070'","Skluy_51.2.24:24",0.115804065,0.079296563,-0.027680501,0.204361876,0.159468582,0.010039972,0.066025939,0.136409935,0.197642907,0.085135564,0.01513521,0.031878152,0.068942294,0.06040517,-0.058185923,-0.083866777
"399","'PCCGCIGL_07216'","Skluy_20.1.15:15",-2.333051009,-3.04151763,-2.776080469,-2.751787895,-1.313151657,-1.23047239,-0.489212343,-0.838065986,-2.032050095,-2.782240147,-1.494272734,-1.17339225,-0.868537574,-1.868417506,-1.162351336,-1.683980121
"400","'PCCGCIGL_07216'","Skluy_0.4.4:4",-0.34616575,-0.391692483,-0.338109283,-0.252753798,0.459156058,0.289208969,0.675618076,0.538774814,-0.616670587,-0.636294501,-0.630379897,-0.221901128,-0.737412804,-0.303059152,-0.634140364,-0.312408842
"401","'PCCGCIGL_01384'","Skluy_14.4.9:9",0.137413449,0.123334212,0.044185669,-0.148511625,-0.081202643,-0.009625346,-0.13384226,-0.069137379,-0.519083524,-0.462882785,-0.559636825,-0.594981409,-0.28589124,-0.176230336,-0.269337321,-0.158592797
"402","'PCCGCIGL_07983'","Skluy_64.1.6:6",-0.019148841,-0.226415119,-0.088208672,0.049375667,-0.143657216,-0.038157143,-0.127227519,-0.30956015,0.20271904,0.201978993,0.136766762,0.300760369,0.125837342,-0.062957771,0.49947442,0.140521029
"403","'PCCGCIGL_07883'","Skluy_17.4.5:5",0.55431351,0.51160297,0.341311939,0.162295201,0.57997703,0.30658429,0.368056178,0.42000625,0.027298489,-0.768528316,-0.498904493,-0.315567528,-0.085269121,-0.109567934,-0.398168733,-0.107688556
"404","'PCCGCIGL_05758'","Skluy_54.3.17:17",-0.013843821,0.098115405,0.287383063,0.103897101,0.246044074,0.255712106,0.283713474,0.226301781,0.201746746,0.249587301,0.23435839,0.147861957,0.071105399,0.057125938,0.0671011,0.106445382
"405","'PCCGCIGL_08268'","Skluy_91.3.15:15",-1.155597237,-0.829670797,-0.963289307,-0.787562833,-0.438834335,-0.377474716,0.090949084,-0.268130911,0.031827594,0.099079495,-0.05213046,0.207700635,0.195608056,0.186511353,0.468246366,0.216475692
"406","'PCCGCIGL_04586'","Skluy_2.10.11:11",-0.007807363,0.325231871,0.033642494,0.311517138,0.521861784,0.630882759,0.544182394,0.499034827,1.412125179,1.065516327,1.408448332,1.720041598,-1.866390451,-1.689884313,-1.405343735,-1.754712514
"407","'PCCGCIGL_00582'","Skluy_105.1.5:5",-0.121424225,-0.114651036,-0.140775348,-0.327956628,0.259211672,0.42240114,0.259631441,0.173250767,-1.162980793,-1.32428957,-1.258100951,-1.186223682,-0.426480926,-0.730162004,-0.924263375,-0.510801622
"408","'PCCGCIGL_02163'","Skluy_82.2.9:9",-0.696536377,-1.528622101,-1.618179848,-1.654433104,-0.938356773,-1.711563441,-1.102645829,-1.262311436,-0.934093411,-2.285268313,-1.821107913,-1.97307275,-0.236377226,-1.080063163,-1.141526512,-0.859690605
"409","'PCCGCIGL_05724'","Skluy_54.1.3:3",0.212446839,0.312374912,0.067811651,0.066074398,0.335139298,-0.257581062,-0.092529559,0.169485686,2.544720911,2.68699149,2.649931108,2.34230562,0.225936194,0.095779484,0.151505857,-0.079163145
"410","'PCCGCIGL_02344'","Skluy_112.1.3:3",-0.132254209,-0.012826535,-0.076182666,0.085269265,-0.192244838,-0.08633634,-0.048461109,-0.23525688,-0.652014671,-0.436151043,-0.655170572,-0.381613164,0.201254401,0.335541667,0.217209357,0.27888499
"411","'PCCGCIGL_07902'","Skluy_29.2.4:4",0.800980337,0.891530338,0.904995455,0.966350637,0.788519398,0.786074735,0.636973222,0.848031124,0.756909763,0.731647915,0.577845623,0.531796287,-0.333940508,-0.17055597,-0.185785139,-0.041329858
"412","'PCCGCIGL_00911'","Skluy_46.3.10:10",-2.001677758,-2.285783632,-0.94430663,-1.583256222,-0.494820688,-0.631236426,-0.334801288,-0.709661443,-1.82518247,0.038385844,-0.618159117,2.217528123,-1.536539919,-2.088915462,-1.685795353,-2.029269224
"413","'PCCGCIGL_03359'","Skluy_5.2.16:16",-0.202488568,-0.29849633,-0.267794296,-0.500783069,-0.353212842,-0.53449311,-0.366121297,-0.447858841,0.124322764,-0.245070685,0.183592541,0.006128913,0.442137998,0.226210988,0.148182451,0.151203927
"414","'PCCGCIGL_04029'","Skluy_4.4.3:3",-0.516833229,-0.830823795,-0.93135305,-1.33197832,-0.49448355,-0.556232786,-0.355576573,-0.420144751,-0.816118851,-1.385934223,-1.251156292,-1.435499667,-0.30464974,-0.946741187,-0.898012844,-0.510229582
"415","'PCCGCIGL_00133'","Skluy_56.1.22:22",-0.263949583,-0.067123232,-0.127546016,-0.036680273,0.041413409,-0.427174888,-0.201648455,-0.240807755,-0.17558349,0.033022032,-0.211821633,-0.007342377,0.656810774,0.541033706,0.71409179,0.811662429
"416","'PCCGCIGL_07384'","Skluy_6.3.13:13",-0.152128511,-0.1203099,-0.292785398,-0.159986205,0.445897948,0.401276732,0.237547644,0.483400432,-0.417111059,-0.632735754,-0.64163066,-0.667746967,-0.120998675,-0.42405286,-0.071275667,-0.190347938
"417","'PCCGCIGL_05366'","Skluy_7.3.16:16",0.382482501,0.18351718,0.11782398,-0.004359794,0.201281993,-0.040081973,0.203556498,0.033566228,-0.099414477,-0.734605288,-0.560706114,-0.488620844,-0.564219907,-0.927580233,-1.035083677,-0.614155636
"418","'PCCGCIGL_01787'","Skluy_42.7.11:11",-0.708465025,-0.985734216,-0.992570793,-1.26252422,-0.422492337,-0.781626264,-0.867696656,-0.783231054,-0.232381612,-0.894251066,-0.716164548,-0.58766762,0.073509904,-0.273705998,-0.379923864,-0.353964873
"419","'PCCGCIGL_02949'","Skluy_119.1.13:13",0.194399149,0.191949764,0.244267732,0.432131164,0.453402823,0.458175915,0.356070429,0.213214267,-0.064136654,-0.103473672,-0.195514976,-0.051277645,-0.420073114,-0.03272033,-0.335444056,-0.308027088
"420","'PCCGCIGL_07111'","Skluy_0.3.16:16",0.623449055,0.389364461,0.613209221,0.57991784,-0.01069958,-0.094232619,-0.036829901,-0.044701609,2.129510605,3.115226959,2.589583743,2.036575854,0.064929658,0.05085354,-0.128404065,0.194576944
"421","'PCCGCIGL_00054'","Skluy_98.1.14:14",-0.189581937,-0.188642728,-0.029832149,-0.271053081,-0.083813025,0.078865144,-0.1612737,-0.317852318,-0.25702543,-0.306492391,-0.276185295,-0.057951273,0.480329547,0.648101359,0.57919055,0.450259029
"422","'PCCGCIGL_07586'","Skluy_145.1.5:5",0.189091478,-0.28662065,-0.198428214,-0.362706099,-0.307088889,-0.342441356,-0.188031288,-0.119449664,0.893195627,0.865552189,1.195820382,1.23337695,0.1038965,-0.114570567,-0.115996795,-0.584134448
"423","'PCCGCIGL_01756'","Skluy_42.2.7:7",0.241073669,0.32852435,0.399657475,0.335677697,0.202714605,0.375188759,0.240209664,0.442299797,0.580393619,0.844053677,0.926872455,0.708042325,0.353103251,0.660867473,-0.031557863,0.29084917
"424","'PCCGCIGL_05845'","Skluy_71.2.3:3",-0.039594579,0.102212284,0.193505497,0.06915459,0.195928801,0.189502112,0.009272399,0.297709117,0.201679243,0.311968664,0.211899558,0.262677587,0.126879993,0.0428644,0.138993093,0.134822531
"425","'PCCGCIGL_04323'","Skluy_1.1.50:50",0.008521061,-0.208539693,-0.256796606,-0.151421421,-0.273442227,-0.19051707,-0.242410205,-0.250303757,0.475101072,0.521753332,0.459081339,0.201851688,0.142531706,0.261919862,-0.070249601,0.146050193
"426","'PCCGCIGL_05750'","Skluy_54.3.10:10",0.310701261,0.264844811,0.332371961,0.311158682,0.680219,0.397877486,0.58873366,0.390163055,1.389917318,1.467307494,1.402932664,2.090494778,0.170100533,0.292693014,0.377486436,0.366784275
"427","'PCCGCIGL_02772'","Skluy_165.1.5:5",-1.524228785,-1.580180146,-1.277766696,-1.627295023,-1.512917034,-1.561775275,-1.297304324,-1.488485294,-2.34170154,-2.436120267,-2.701630052,-2.359848765,0.054034322,-0.465074709,-0.326544171,-0.137968714
"428","'PCCGCIGL_06469'","Skluy_40.2.3:3",-0.463744108,-0.41897155,-0.357835839,-0.478608175,-0.539826484,-0.700888402,-0.510366252,-0.369599886,0.100591469,0.153391194,0.003397017,0.061532568,-0.141208995,0.010193864,-0.108157864,-0.107033182
"429","'PCCGCIGL_03340'","Skluy_5.2.8:8",-0.026805695,-0.004243164,-0.029982411,-0.105792669,-0.160596574,-0.208482702,-0.088773428,-0.077907142,0.834519141,0.306442087,0.586300215,0.534231329,-0.125211824,-0.361689358,-0.430014622,-0.312774168
"430","'PCCGCIGL_04313'","Skluy_1.1.58:58",-4.139298943,-4.174714744,-4.194904131,-4.16717497,-4.257062564,-3.839286562,-3.535518583,-3.800354376,-2.370999333,-2.247898151,-2.439458823,-2.174904428,-4.061597769,-3.864271583,-4.044477399,-4.064719478
"431","'PCCGCIGL_06685'","Skluy_49.1.14:14",0.231898711,0.329907476,0.373941098,0.270692528,-0.046263148,0.098061845,0.117027842,0.083244751,0.656725984,0.581885068,0.701760648,0.529465346,0.097717436,-0.074226774,0.231993303,0.13788768
"432","'PCCGCIGL_05744'","Skluy_54.3.6:6",0.019145428,-0.297703952,-0.301313721,-0.476968484,-0.198714772,-0.281549868,-0.323402655,-0.224864889,-0.534431898,-0.76753281,-0.577874822,-0.578158477,0.000847111,-0.443538956,-0.43379565,-0.297006876
"433","'PCCGCIGL_00187'","Skluy_41.2.16:16",0.019354849,0.520558408,0.456869245,0.242750443,0.420334085,0.373852063,0.36069371,0.477918056,0.368284022,0.177898041,0.374841113,0.460888903,0.146053992,-0.140904068,0.073332395,0.20269747
"434","'PCCGCIGL_07837'","Skluy_17.1.29:29",-0.378609637,-0.367633797,-0.29475414,-0.433652471,-0.613727241,-0.619590615,-0.651497325,-0.570854682,0.323956767,0.268615562,0.230284613,0.259167478,0.120431067,0.323435819,0.245932196,0.220355701
"435","'PCCGCIGL_08275'","Skluy_139.2.2:2",-0.81948239,-1.039424239,-0.774214511,-1.03818962,-1.114275653,-1.177569955,-0.811918303,-0.987394991,-1.017032147,-0.966249188,-0.869559686,-1.100334142,0.363426732,0.333847683,0.460567538,0.535281596
"436","'PCCGCIGL_06475'","Skluy_40.2.6:6",0.232750344,0.178043678,0.13285237,-0.151241787,0.023374972,0.1764187,0.368805809,0.191840222,-0.529604085,-0.48578045,-0.83073185,-0.542663703,0.145493045,-0.076853277,-0.011851033,0.2042177
"437","'PCCGCIGL_06394'","Skluy_102.2.19:19",-3.115988167,-2.931961892,-2.936621325,-3.148506749,-0.567668811,-0.644620607,-0.048830407,-0.409763844,-2.558791567,-2.622342571,-2.609475428,-2.495089802,-1.053057565,-1.175224808,-1.24863342,-1.277817103
"438","'PCCGCIGL_05170'","Skluy_10.6.7:7",-0.181834537,-0.325209603,-0.431831717,-0.414295307,-0.418623325,-0.134423808,-0.178565417,-0.144659891,-0.268539421,-0.643008992,-0.168789286,-0.396324471,-0.082122419,-0.219848263,-0.174011766,-0.211518055
"439","'PCCGCIGL_05273'","Skluy_80.1.5:5",0.127378281,0.309103279,0.271218473,0.2973379,0.206844542,0.113998444,0.150403463,0.156081972,-0.23474683,-0.45058618,-0.096138582,-0.035146113,-0.354432971,-0.058401883,-0.147782822,0.135951397
"440","'PCCGCIGL_05604'","Skluy_8.1.18:18",-0.206172897,-0.31662147,-0.36769006,-0.4425022,-0.168367539,-0.298682862,-0.283627873,-0.09368779,-0.165081389,-0.090134984,-0.176801902,0.040076498,0.100152089,0.099402286,0.051097242,0.029986302
"441","'PCCGCIGL_04433'","Skluy_45.3.19:19",-1.479260818,-1.697784372,-1.108638771,0.761143224,-0.101832908,-0.345292333,0.021516685,-0.286292609,0.931478957,0.490874502,-0.529565975,1.581238152,-2.338655634,-1.163387915,-2.505473065,-1.856150504
"442","'PCCGCIGL_03767'","Skluy_3.3.43:43",-0.041187085,-0.014301078,-0.310298523,-0.382838494,0.227460282,0.076688468,0.010631546,0.102722663,-0.816642031,-1.259567912,-1.066451528,-1.034802921,-0.024004286,-0.419056388,-0.136212561,-0.061459495
"443","'PCCGCIGL_06049'","Skluy_22.1.10:10",0.633241977,-0.046013553,-0.23864217,-0.289051152,-0.41200843,-0.153042757,0.183105159,-0.391994396,-0.308263497,-0.379015411,0.00218436,-0.354590885,0.038145208,-0.55099865,-0.016516454,0.135957357
"444","'PCCGCIGL_02234'","Skluy_50.3.9:9",-0.178943745,-0.521986124,-0.45337488,-0.511326642,-0.358810799,-0.591036555,-0.59283004,-0.579237479,-0.22440796,-0.519194943,-0.367069406,-0.339919008,0.080239784,-0.287450899,-0.473058001,-0.394896734
"445","'PCCGCIGL_06142'","Skluy_65.1.13:13",0.51656278,0.576943202,0.639548953,0.757504383,0.313060059,0.65502204,0.418348598,0.498001179,0.382081369,0.677021883,0.71560688,0.50052408,-0.627456815,-0.569108103,-0.548372776,-0.455350424
"446","'PCCGCIGL_07930'","Skluy_29.2.13:13",-0.160024081,-0.081943714,-0.181800102,0.017724915,-0.045304083,0.259653466,0.027392755,0.020128007,0.225036134,0.372914398,0.409308148,0.267456598,0.117299336,0.392336559,0.330977969,0.31520853
"447","'PCCGCIGL_05700'","Skluy_62.4.4:4",1.907618113,1.952813363,1.939355371,1.965074495,1.477780164,1.451265107,1.566313341,1.441373067,2.022690653,1.87947049,2.055240952,1.987058546,0.634380942,0.833867286,0.732785799,0.8568328
"448","'PCCGCIGL_05700'","Skluy_467.1.1:1",1.27665623,0.885064244,NA,NA,0.908588146,-0.83529929,-0.523778934,NA,0.063275499,NA,-0.597765694,0.2974973,NA,NA,-0.02327159,0.537260343
"449","'PCCGCIGL_07194'","Skluy_0.3.67:67",-0.245846071,-0.214518274,0.027834007,-0.267528434,-0.092036575,-0.230007405,-0.23062258,-0.199657434,-0.448045727,-0.103444891,-0.382431045,-0.397609834,-0.073140655,-0.271657363,-0.247464438,-0.208925494
"450","'PCCGCIGL_00912'","Skluy_46.3.9:9",3.321836003,2.816968613,1.533963361,1.790532722,0.08046402,0.125793645,0.056843665,0.182034799,1.60976059,0.271199225,1.96270836,-2.073488129,3.812738538,3.375600967,3.056757017,3.883406496
"451","'PCCGCIGL_00246'","Skluy_121.2.1:1",-0.492683538,-0.358830074,-0.420949476,-0.503810774,-0.592889913,-0.553319485,-0.3673296,-0.510579102,-0.607089521,-0.697428827,-0.631122423,-0.765368399,0.293783517,0.049552788,0.21960277,0.025337988
